Año;Fase;Nivel;Concepto;Concepto_Padre;Unidad;Valor
2022;Obligado;3;Transferencias;Funcionamiento;Miles mm COP;135.393,900
2022;Obligado;4;SGP;Transferencias;Miles mm COP;12.578,425
2022;Obligado;4;Pensiones;Transferencias;Miles mm COP;6.115,606
2022;Obligado;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;1.357,022
2022;Obligado;4;Resto;Transferencias;Miles mm COP;115.342,848
2022;Obligado;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;153,281
2022;Obligado;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;391,607
2022;Obligado;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;55,366
2022;Obligado;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;229,711
2022;Obligado;2;Servicio de la Deuda;Total PGN;Miles mm COP;8.631,580
2022;Obligado;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,006
2022;Obligado;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;3.340,896
2022;Obligado;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;708,347
2022;Obligado;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;2.623,092
2022;Obligado;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;9,457
2022;Obligado;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;5.290,685
2022;Obligado;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;637,449
2022;Obligado;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;4.570,448
2022;Obligado;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;0,000
2022;Obligado;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;82,787
2022;Obligado;2;Inversión;Total PGN;Miles mm COP;11.380,375
2022;Obligado;2;Inversión como % del PIB;Inversión;% PIB;0,008
2022;Pagado;1;Total PGN;;Miles mm COP;164.868,950
2022;Pagado;1;PGN como % del PIB;Total PGN;% PIB;0,112
2022;Pagado;2;Funcionamiento;Total PGN;Miles mm COP;145.146,029
2022;Pagado;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,099
2022;Pagado;3;Gastos de Personal;Funcionamiento;Miles mm COP;7.447,535
2022;Pagado;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;1.594,801
2022;Pagado;3;Transferencias;Funcionamiento;Miles mm COP;135.295,023
2022;Pagado;4;SGP;Transferencias;Miles mm COP;12.067,658
2022;Pagado;4;Pensiones;Transferencias;Miles mm COP;6.111,338
2022;Pagado;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;1.352,335
2022;Pagado;4;Resto;Transferencias;Miles mm COP;115.763,692
2022;Pagado;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;133,053
2022;Pagado;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;391,596
2022;Pagado;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;54,789
2022;Pagado;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;229,231
2022;Pagado;2;Servicio de la Deuda;Total PGN;Miles mm COP;8.579,760
2022;Pagado;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,006
2022;Pagado;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;3.289,076
2022;Pagado;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;666,375
2022;Pagado;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;2.613,560
2022;Pagado;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;9,142
2022;Pagado;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;5.290,685
2022;Pagado;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;637,449
2022;Pagado;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;4.570,448
2022;Pagado;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;0,000
2022;Pagado;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;82,787
2022;Pagado;2;Inversión;Total PGN;Miles mm COP;11.143,160
2022;Pagado;2;Inversión como % del PIB;Inversión;% PIB;0,008
2023;Vigente;1;Total PGN;;Miles mm COP;410.289,582
2023;Vigente;1;PGN como % del PIB;Total PGN;% PIB;0,258
