Año;Fase;Nivel;Concepto;Concepto_Padre;Unidad;Valor
2024;Obligado;2;Inversión como % del PIB;Inversión;% PIB;0,005
2024;Pagado;1;Total PGN;;Miles mm COP;231.495,876
2024;Pagado;1;PGN como % del PIB;Total PGN;% PIB;0,135
2024;Pagado;2;Funcionamiento;Total PGN;Miles mm COP;206.828,667
2024;Pagado;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,121
2024;Pagado;3;Gastos de Personal;Funcionamiento;Miles mm COP;9.742,326
2024;Pagado;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;1.665,298
2024;Pagado;3;Transferencias;Funcionamiento;Miles mm COP;194.601,331
2024;Pagado;4;SGP;Transferencias;Miles mm COP;18.300,574
2024;Pagado;4;Pensiones;Transferencias;Miles mm COP;7.453,590
2024;Pagado;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;1.529,095
2024;Pagado;4;Resto;Transferencias;Miles mm COP;167.318,072
2024;Pagado;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;119,411
2024;Pagado;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;507,124
2024;Pagado;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;60,214
2024;Pagado;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;132,961
2024;Pagado;2;Servicio de la Deuda;Total PGN;Miles mm COP;15.988,332
2024;Pagado;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,009
2024;Pagado;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;6.971,729
2024;Pagado;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;3.197,362
2024;Pagado;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;3.759,260
2024;Pagado;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;15,107
2024;Pagado;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;9.016,604
2024;Pagado;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;688,011
2024;Pagado;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;8.155,214
2024;Pagado;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;0,219
2024;Pagado;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;173,161
2024;Pagado;2;Inversión;Total PGN;Miles mm COP;8.678,876
2024;Pagado;2;Inversión como % del PIB;Inversión;% PIB;0,005
2025;Vigente;1;Total PGN;;Miles mm COP;515.757,071
2025;Vigente;1;PGN como % del PIB;Total PGN;% PIB;0,278
2025;Vigente;2;Funcionamiento;Total PGN;Miles mm COP;319.190,746
2025;Vigente;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,172
2025;Vigente;3;Gastos de Personal;Funcionamiento;Miles mm COP;60.242,852
2025;Vigente;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;16.804,684
2025;Vigente;3;Transferencias;Funcionamiento;Miles mm COP;237.695,217
2025;Vigente;4;SGP;Transferencias;Miles mm COP;81.984,183
2025;Vigente;4;Pensiones;Transferencias;Miles mm COP;77.395,877
2025;Vigente;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;7.120,185
2025;Vigente;4;Resto;Transferencias;Miles mm COP;71.194,972
2025;Vigente;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;2.050,774
2025;Vigente;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;759,156
2025;Vigente;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;358,659
2025;Vigente;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;1.279,404
2025;Vigente;2;Servicio de la Deuda;Total PGN;Miles mm COP;112.605,186
2025;Vigente;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,061
2025;Vigente;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;41.029,422
2025;Vigente;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;21.772,590
2025;Vigente;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;19.104,458
2025;Vigente;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;152,374
2025;Vigente;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;71.575,764
2025;Vigente;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;28.993,667
2025;Vigente;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;40.380,190
2025;Vigente;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;294,810
2025;Vigente;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;1.907,098
2025;Vigente;2;Inversión;Total PGN;Miles mm COP;83.961,138
2025;Vigente;2;Inversión como % del PIB;Inversión;% PIB;0,045
2025;Comprometido;1;Total PGN;;Miles mm COP;311.723,637
2025;Comprometido;1;PGN como % del PIB;Total PGN;% PIB;0,168
2025;Comprometido;2;Funcionamiento;Total PGN;Miles mm COP;256.862,145
2025;Comprometido;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,139
2025;Comprometido;3;Gastos de Personal;Funcionamiento;Miles mm COP;12.169,970
2025;Comprometido;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;8.260,777
2025;Comprometido;3;Transferencias;Funcionamiento;Miles mm COP;235.014,660
2025;Comprometido;4;SGP;Transferencias;Miles mm COP;17.597,262
2025;Comprometido;4;Pensiones;Transferencias;Miles mm COP;22.785,789
2025;Comprometido;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;3.958,314
2025;Comprometido;4;Resto;Transferencias;Miles mm COP;190.673,295
2025;Comprometido;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;674,303
2025;Comprometido;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;514,152
2025;Comprometido;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;63,839
2025;Comprometido;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;164,446
2025;Comprometido;2;Servicio de la Deuda;Total PGN;Miles mm COP;18.498,660
2025;Comprometido;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,010
2025;Comprometido;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;5.589,144
2025;Comprometido;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;2.731,141
2025;Comprometido;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;2.819,326
2025;Comprometido;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;38,676
2025;Comprometido;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;12.909,517
2025;Comprometido;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;1.486,898
2025;Comprometido;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;11.160,405
2025;Comprometido;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;12,824
2025;Comprometido;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;249,389
2025;Comprometido;2;Inversión;Total PGN;Miles mm COP;36.362,831
2025;Comprometido;2;Inversión como % del PIB;Inversión;% PIB;0,020
2025;Obligado;1;Total PGN;;Miles mm COP;256.775,161
2025;Obligado;1;PGN como % del PIB;Total PGN;% PIB;0,139
2025;Obligado;2;Funcionamiento;Total PGN;Miles mm COP;232.425,239
2025;Obligado;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,125
2025;Obligado;3;Gastos de Personal;Funcionamiento;Miles mm COP;11.045,382
2025;Obligado;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;2.035,420
2025;Obligado;3;Transferencias;Funcionamiento;Miles mm COP;218.885,661
2025;Obligado;4;SGP;Transferencias;Miles mm COP;17.562,952
2025;Obligado;4;Pensiones;Transferencias;Miles mm COP;12.305,655
2025;Obligado;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;2.760,986
2025;Obligado;4;Resto;Transferencias;Miles mm COP;186.256,068
2025;Obligado;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;227,494
2025;Obligado;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;12,600
2025;Obligado;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;62,516
2025;Obligado;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;156,167
2025;Obligado;2;Servicio de la Deuda;Total PGN;Miles mm COP;17.721,909
2025;Obligado;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,010
2025;Obligado;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;4.824,696
2025;Obligado;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;2.574,428
2025;Obligado;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;2.233,598
2025;Obligado;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;16,670
2025;Obligado;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;12.897,213
2025;Obligado;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;1.486,898
2025;Obligado;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;11.160,405
2025;Obligado;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;0,520
2025;Obligado;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;249,389
2025;Obligado;2;Inversión;Total PGN;Miles mm COP;6.628,013
2025;Obligado;2;Inversión como % del PIB;Inversión;% PIB;0,004
2025;Pagado;1;Total PGN;;Miles mm COP;254.037,428
2025;Pagado;1;PGN como % del PIB;Total PGN;% PIB;0,137
2025;Pagado;2;Funcionamiento;Total PGN;Miles mm COP;232.170,515
2025;Pagado;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,125
2025;Pagado;3;Gastos de Personal;Funcionamiento;Miles mm COP;11.024,942
2025;Pagado;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;1.934,133
2025;Pagado;3;Transferencias;Funcionamiento;Miles mm COP;218.824,487
2025;Pagado;4;SGP;Transferencias;Miles mm COP;17.561,824
2025;Pagado;4;Pensiones;Transferencias;Miles mm COP;12.305,536
2025;Pagado;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;1.805,368
2025;Pagado;4;Resto;Transferencias;Miles mm COP;187.151,760
2025;Pagado;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;157,739
2025;Pagado;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;12,447
2025;Pagado;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;62,411
2025;Pagado;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;154,356
2025;Pagado;2;Servicio de la Deuda;Total PGN;Miles mm COP;15.334,747
2025;Pagado;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,008
2025;Pagado;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;4.401,569
2025;Pagado;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;2.539,399
2025;Pagado;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;1.845,890
2025;Pagado;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;16,280
2025;Pagado;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;10.933,178
2025;Pagado;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;1.285,127
2025;Pagado;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;9.398,142
2025;Pagado;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;0,520
2025;Pagado;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;249,389
2025;Pagado;2;Inversión;Total PGN;Miles mm COP;6.532,166
2025;Pagado;2;Inversión como % del PIB;Inversión;% PIB;0,004
2026;Vigente;1;Total PGN;;Miles mm COP;547.017,088
2026;Vigente;1;PGN como % del PIB;Total PGN;% PIB;0,271
2026;Vigente;2;Funcionamiento;Total PGN;Miles mm COP;358.166,148
2026;Vigente;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,177
2026;Vigente;3;Gastos de Personal;Funcionamiento;Miles mm COP;66.677,814
2026;Vigente;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;18.373,507
2026;Vigente;3;Transferencias;Funcionamiento;Miles mm COP;268.547,085
2026;Vigente;4;SGP;Transferencias;Miles mm COP;88.352,506
2026;Vigente;4;Pensiones;Transferencias;Miles mm COP;83.126,345
2026;Vigente;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;11.949,382
2026;Vigente;4;Resto;Transferencias;Miles mm COP;85.118,852
2026;Vigente;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;2.106,118
2026;Vigente;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;759,543
2026;Vigente;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;372,372
2026;Vigente;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;1.329,709
2026;Vigente;2;Servicio de la Deuda;Total PGN;Miles mm COP;100.449,708
2026;Vigente;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,050
2026;Vigente;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;38.406,045
2026;Vigente;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;17.273,045
2026;Vigente;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;19.987,062
2026;Vigente;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;1.145,938
2026;Vigente;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;62.043,663
2026;Vigente;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;10.342,874
2026;Vigente;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;48.777,532
2026;Vigente;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;257,929
2026;Vigente;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;2.665,328
2026;Vigente;2;Inversión;Total PGN;Miles mm COP;88.401,231
2026;Vigente;2;Inversión como % del PIB;Inversión;% PIB;0,044
2026;Comprometido;1;Total PGN;;Miles mm COP;187.331,829
2026;Comprometido;1;PGN como % del PIB;Total PGN;% PIB;0,093
2026;Comprometido;2;Funcionamiento;Total PGN;Miles mm COP;102.459,319
2026;Comprometido;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,051
2026;Comprometido;3;Gastos de Personal;Funcionamiento;Miles mm COP;14.033,414
2026;Comprometido;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;10.275,595
2026;Comprometido;3;Transferencias;Funcionamiento;Miles mm COP;77.000,576
2026;Comprometido;4;SGP;Transferencias;Miles mm COP;19.307,683
2026;Comprometido;4;Pensiones;Transferencias;Miles mm COP;22.416,473
2026;Comprometido;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;6.153,251
2026;Comprometido;4;Resto;Transferencias;Miles mm COP;29.123,170
2026;Comprometido;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;877,224
2026;Comprometido;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;16,303
2026;Comprometido;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;74,582
2026;Comprometido;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;181,625
2026;Comprometido;2;Servicio de la Deuda;Total PGN;Miles mm COP;39.886,104
2026;Comprometido;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,020
2026;Comprometido;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;17.117,356
2026;Comprometido;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;8.662,101
2026;Comprometido;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;8.384,691
2026;Comprometido;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;70,564
2026;Comprometido;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;22.768,748
2026;Comprometido;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;549,539
2026;Comprometido;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;22.004,464
2026;Comprometido;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;9,307
2026;Comprometido;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;205,439
2026;Comprometido;2;Inversión;Total PGN;Miles mm COP;44.986,407
2026;Comprometido;2;Inversión como % del PIB;Inversión;% PIB;0,022
2026;Obligado;1;Total PGN;;Miles mm COP;109.562,876
2026;Obligado;1;PGN como % del PIB;Total PGN;% PIB;0,054
2026;Obligado;2;Funcionamiento;Total PGN;Miles mm COP;66.906,508
2026;Obligado;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,033
2026;Obligado;3;Gastos de Personal;Funcionamiento;Miles mm COP;12.764,399
2026;Obligado;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;2.462,045
2026;Obligado;3;Transferencias;Funcionamiento;Miles mm COP;51.147,649
2026;Obligado;4;SGP;Transferencias;Miles mm COP;19.278,821
2026;Obligado;4;Pensiones;Transferencias;Miles mm COP;12.241,675
2026;Obligado;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;2.764,906
2026;Obligado;4;Resto;Transferencias;Miles mm COP;16.862,247
2026;Obligado;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;269,319
2026;Obligado;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;16,233
2026;Obligado;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;73,358
2026;Obligado;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;173,504
2026;Obligado;2;Servicio de la Deuda;Total PGN;Miles mm COP;32.694,265
2026;Obligado;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,016
2026;Obligado;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;10.157,780
2026;Obligado;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;6.124,309
2026;Obligado;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;3.996,201
2026;Obligado;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;37,270
2026;Obligado;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;22.536,484
2026;Obligado;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;531,843
2026;Obligado;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;22.004,464
2026;Obligado;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;0,177
2026;Obligado;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;0,000
2026;Obligado;2;Inversión;Total PGN;Miles mm COP;9.962,104
2026;Obligado;2;Inversión como % del PIB;Inversión;% PIB;0,005
2026;Pagado;1;Total PGN;;Miles mm COP;105.156,814
2026;Pagado;1;PGN como % del PIB;Total PGN;% PIB;0,052
2026;Pagado;2;Funcionamiento;Total PGN;Miles mm COP;65.800,656
2026;Pagado;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,033
2026;Pagado;3;Gastos de Personal;Funcionamiento;Miles mm COP;12.691,969
2026;Pagado;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;2.331,984
2026;Pagado;3;Transferencias;Funcionamiento;Miles mm COP;50.329,949
2026;Pagado;4;SGP;Transferencias;Miles mm COP;19.278,318
2026;Pagado;4;Pensiones;Transferencias;Miles mm COP;12.241,004
2026;Pagado;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;2.034,316
2026;Pagado;4;Resto;Transferencias;Miles mm COP;16.776,312
2026;Pagado;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;190,471
2026;Pagado;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;16,233
2026;Pagado;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;73,171
2026;Pagado;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;166,879
2026;Pagado;2;Servicio de la Deuda;Total PGN;Miles mm COP;29.822,902
2026;Pagado;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,015
2026;Pagado;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;8.764,093
2026;Pagado;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;5.827,694
2026;Pagado;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;2.899,583
2026;Pagado;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;36,817
2026;Pagado;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;21.058,808
2026;Pagado;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;530,429
2026;Pagado;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;20.528,202
2026;Pagado;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;0,177
2026;Pagado;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;0,000
2026;Pagado;2;Inversión;Total PGN;Miles mm COP;9.533,256
2026;Pagado;2;Inversión como % del PIB;Inversión;% PIB;0,005
